Etat;Murder;Assault;UrbanPop;Rape;GunPerHabitant;Geographic;RacismRate;AfricanAmericanProp
Alabama;13,2;236;58;21,2;17;3;moderate;26,38
Alaska;10;263;48;44,5;22;0;moderate;4,27
Arizona;8,1;294;80;31;8;4;moderate;4,16
Arkansas;8,8;190;50;19,5;17;3;low;15,76
California;9;276;91;40,6;5;4;high;6,67
Colorado;7,9;204;78;38,7;15;4;moderate;4,28
Connecticut;3,3;110;77;11,1;14;2;moderate;10,34
Delaware;5,9;238;72;15,8;6;2;high;20,95
Florida;15,4;335;80;31,9;8;3;moderate;15,91
Georgia;17,4;211;60;25,8;9;3;high;31,4
Hawaii;5,3;46;83;20,2;2;0;moderate;3,08
Idaho;2,6;120;54;14,2;16;2;low;0,95
Illinois;10,4;249;83;24;14;2;moderate;14,88
Indiana;7,2;113;65;21;12;2;moderate;9,07
Iowa;2,2;56;57;11,3;10;2;moderate;2,68
Kansas;6;115;66;18;13;4;moderate;6,15
Kentucky;9,7;109;52;16,3;134;2;moderate;8,2
Louisiana;15,4;249;66;22,2;13;3;high;32,4
Maine;2,1;83;51;7,8;12;2;low;1,03
Maryland;11,3;300;67;27,8;4;2;high;30,1
Massachusetts;4,4;149;85;16,3;4;2;moderate;8,1
Michigan;12,1;255;74;35,1;9;2;high;14,24
Minnesota;2,7;72;66;14,9;13;2;low;4,57
Mississippi;16,1;259;44;17,1;14;3;moderate;37,3
Missouri;9;178;70;28,2;15;3;moderate;11,49
Montana;6;109;53;16,4;26;1;low;0,67
Nebraska;4,3;102;62;16,5;8;1;moderate;4,5
Nevada;12,2;252;81;46;10;4;high;9
New Hampshire;2,1;57;56;9,5;15;2;moderate;1,22
New Jersey;7,4;159;89;18,8;2;2;moderate;14,46
New Mexico;11,4;285;70;32,1;13;4;moderate;2,97
New York;11,1;254;86;26,1;3;2;moderate;15,18
North Carolina;13;337;45;16,1;9;3;moderate;21,6
North Dakota;0,8;45;44;7,3;18;1;low;1,08
Ohio;7,3;120;75;21,4;8;2;high;12,04
Oklahoma;6,6;151;68;20;16;4;moderate;7,96
Oregon;4,9;159;67;29,3;12;1;moderate;2,01
Pennsylvania;6,3;106;72;14,9;12;2;moderate;10,79
Rhode Island;3,4;174;87;8,3;4;2;high;7,5
South Carolina;14,4;279;48;22,5;12;3;moderate;28,48
South Dakota;3,8;86;45;12,8;19;1;low;1,14
Tennessee;13,2;188;59;26,9;17;3;moderate;16,78
Texas;12,7;201;80;25,5;10;4;high;11,91
Utah;3,2;120;80;22,9;30;4;moderate;1,27
Vermont;2,2;48;32;11,2;9;2;low;0,87
Virginia;8,5;156;63;20,7;10;2;moderate;19,91
Washington;4;145;73;26,2;13;1;moderate;3,74
West Virginia;5,7;81;39;9,3;21;2;moderate;3,58
Wisconsin;2,6;53;66;10,8;9;2;low;6,07
Wyoming;6,8;161;60;15,6;23;1;low;1,29